Date,Stadium,Dist m/y,Grade,Dogs,Trap,Stime,Posts,Fin,Comment,Pts,Sp,kg,Winner,WinTm,Time,ETime,Form,Film
6 OCT 2017,Derby Lane,603 / 659,GR C,8D,T6,,888,8th,Off Last-bumped-fell^,,3.5,26.5,D'Bulls Oowebaby,37.9,38.6,38.6,,
30 SEP 2017,Derby Lane,603 / 659,GR B,8D,T3,,654,5th,Lacked Late Speed-in,,7.3,26.25,Bella Bulgari,38.38,38.82,38.82,,
23 SEP 2017,Derby Lane,503 / 550,GR B,8D,T2,,788,8th,Shut Off 1st Turn-ra,,5.4,26.5,Kaias Blackbird,30.86,32.08,32.08,,
18 SEP 2017,Derby Lane,503 / 550,GR B,7D,T1,,522,3rd,Nipped For Place-mid,,4,26.5,Somerset Ray,31.07,31.11,31.11,,
1 SEP 2017,Derby Lane,603 / 659,GR B,8D,T7,,654,5th,Crowded 2nd Turn-ins,,2.1,26.5,Mocha Maya,38.04,38.23,38.23,,
26 AUG 2017,Derby Lane,603 / 659,GR B,8D,T6,,432,2nd,Closest Contender-mi,,6.7,26.25,Yolo Beyonce,37.68,37.86,37.86,,
21 AUG 2017,Derby Lane,503 / 550,GR B,8D,T7,,575,2nd,Placed Dspt Bump 1st,,8.2,26.25,Drop A Name,30.97,31.16,31.16,,
17 AUG 2017,Derby Lane,503 / 550,GR B,8D,T1,,755,4th,Close Qtrs Both Turn,,3.3,26.25,Action Talks,31.18,31.4,31.4,,
12 AUG 2017,Derby Lane,503 / 550,GR B,8D,T4,,454,3rd,Close Qtrs Early-gai,,10,26.25,Cheddar Biscuit,30.92,31.3,31.3,,
5 AUG 2017,Derby Lane,603 / 659,GR B,8D,T2,,663,4th,Lacked Late Speed-in,,4.4,26.25,WW Sail Boat,37.69,38.13,38.13,,
2 AUG 2017,Derby Lane,603 / 659,GR B,8D,T4,,653,3rd,Held Show Safe-insid,,7.7,26.25,LK's Royal Sire,38.67,39.02,39.02,,
28 JUL 2017,Derby Lane,603 / 659,GR B,8D,T8,,732,3rd,Big Gain Early-showe,,7.7,26.25,B's Gold Rush,38.13,38.4,38.4,,
22 JUL 2017,Derby Lane,603 / 659,GR B,8D,T4,,666,6th,Lacked Racing Room-m,,3.3,26,JSK Bye Bye Baby,37.66,38.43,38.43,,
